FileName,LocationX,LocationY,LocationZ,RotationRoll,RotationPitch,RotationYaw,GazeHitX,GazeHitY,GazeHitZ,GazeConfidence,Frame,Timestamp,RoomX_m,RoomY_m
BiancaGolden_CircleTurns,-306.0411,-42.0905,195.9101,-3.3603,-22.1501,92.4428,-0.1366,0.9509,-0.2779,0.9980,25,1.324672,-1.0604,-0.4209
BiancaGolden_CircleTurns,-306.7893,-43.5828,195.9390,-3.3413,-22.9140,94.3218,-0.2157,0.9106,-0.3526,0.9980,26,1.352624,-1.0679,-0.4358
BiancaGolden_CircleTurns,-307.4853,-45.0497,195.9704,-3.6355,-23.4988,96.8241,-0.2415,0.9013,-0.3597,0.9980,26,1.381678,-1.0749,-0.4505
BiancaGolden_CircleTurns,-308.0359,-46.4518,195.9804,-3.6278,-23.5901,99.3542,-0.2465,0.9006,-0.3579,0.9980,27,1.408532,-1.0804,-0.4645
BiancaGolden_CircleTurns,-308.3871,-47.8683,195.8383,-3.3760,-23.4862,101.4975,-0.2341,0.9078,-0.3480,0.9980,27,1.436465,-1.0839,-0.4787
BiancaGolden_CircleTurns,-308.5386,-49.1766,195.6741,-3.1144,-23.3241,103.0526,-0.2369,0.9092,-0.3424,0.9980,28,1.464188,-1.0854,-0.4918
BiancaGolden_CircleTurns,-308.6106,-50.1936,195.6972,-3.1351,-23.1111,104.0332,-0.2083,0.9177,-0.3383,0.9980,28,1.492190,-1.0861,-0.5019
BiancaGolden_CircleTurns,-308.5882,-51.4281,195.0218,-3.1729,-21.9505,104.0847,-0.1790,0.9097,-0.3747,0.9980,29,1.519949,-1.0859,-0.5143
BiancaGolden_CircleTurns,-308.3012,-52.0724,195.6612,-2.0385,-24.8132,104.3511,-0.1640,0.9124,-0.3751,0.9980,29,1.547143,-1.0830,-0.5207
BiancaGolden_CircleTurns,-308.6120,-53.1431,195.4114,-3.0972,-24.7689,104.0583,-0.1316,0.9282,-0.3480,0.9980,30,1.575470,-1.0861,-0.5314
BiancaGolden_CircleTurns,-308.6242,-53.9754,195.6370,-1.7595,-24.4144,103.8826,-0.1250,0.9314,-0.3418,0.9980,30,1.603243,-1.0862,-0.5398
BiancaGolden_CircleTurns,-308.9337,-55.0293,195.5964,-2.2356,-24.9101,105.0581,-0.1327,0.9196,-0.3698,0.9980,31,1.631811,-1.0893,-0.5503
BiancaGolden_CircleTurns,-309.6500,-56.2511,195.4781,-5.2672,-26.2816,105.9071,-0.1934,0.9002,-0.3902,0.9980,31,1.659047,-1.0965,-0.5625
BiancaGolden_CircleTurns,-310.4433,-57.3512,195.6047,-8.8256,-26.9428,110.0218,-0.2027,0.9080,-0.3667,0.9980,32,1.687317,-1.1044,-0.5735
BiancaGolden_CircleTurns,-310.9171,-58.1931,195.7017,-8.2110,-26.3210,111.1257,-0.1952,0.9256,-0.3243,0.9980,32,1.718053,-1.1092,-0.5819
BiancaGolden_CircleTurns,-311.3802,-58.9217,195.8004,-7.5944,-24.1113,110.6013,-0.1783,0.9493,-0.2588,0.9980,33,1.742891,-1.1138,-0.5892
BiancaGolden_CircleTurns,-311.8819,-59.5803,195.9290,-6.3482,-23.0466,109.3294,-0.1224,0.9644,-0.2343,0.9980,33,1.770387,-1.1188,-0.5958
BiancaGolden_CircleTurns,-312.4703,-60.0971,196.1244,-5.8852,-21.8492,107.1396,-0.0706,0.9714,-0.2267,0.9980,34,1.797870,-1.1247,-0.6010
